"","sample","forward","reverse"
"1","130021013",138958,138958
"2","130061010",117720,117720
"3","130061012",195137,195137
"4","130061020",114774,114774
"5","130091012",183987,183987
"6","130091020",108137,108137
"7","130211006",144690,144690
"8","130271008",168072,168072
"9","130271017",124439,124439
"10","130291010",87037,87037
"11","130291019",163945,163945
"12","130301013",78880,78880
"13","130401013",125651,125651
"14","130491007",132674,132674
"15","130491012",117311,117311
"16","130491021",165464,165464
"17","130501021",162572,162572
"18","130591009",156852,156852
"19","130611013",121878,121878
"20","130621011",175428,175428
"21","130651008",144186,144186
"22","130671006",156243,156243
"23","130671009",114377,114377
"24","130691015",156901,156901
"25","130701010",112553,112553
"26","130701021",130421,130421
"27","130711007",102337,102337
"28","130751006",1017,1017
"29","130751020",155375,155375
"30","130771004",141943,141943
"31","130771010",131454,131454
"32","130771017",154447,154447
"33","130861009",75686,75686
"34","130861015",180448,180448
"35","130881005",103128,103128
"36","130881012",130621,130621
"37","130891017",112734,112734
"38","130921005",108718,108718
"39","130921015",147804,147804
"40","130941014",161873,161873
"41","130951010",97524,97524
"42","130951012",58512,58512
"43","131011004",88296,88296
"44","131011016",170815,170815
"45","131041008",122891,122891
"46","131041012",77128,77128
"47","131081008",120217,120217
"48","131101009",126515,126515
"49","131101013",137962,137962
"50","131131011",198667,198667
"51","131141009",117280,117280
"52","131161011",151056,151056
"53","131191015",145106,145106
"54","131211010",101045,101045
"55","131241009",167809,167809
"56","131241012",111328,111328
"57","131271003",68763,68763
"58","131331008",182069,182069
"59","131341006",112941,112941
"60","131361011",108267,108267
"61","131361013",142065,142065
"62","131391006",132473,132473
"63","131391011",195838,195838
"64","131411017",139499,139499
"65","131481007",116654,116654
"66","131541016",146651,146651
"67","131561013",194511,194511
"68","131621009",16301,16301
"69","131621012",127108,127108
"70","131631014",181704,181704
"71","131641009",91574,91574
"72","131641015",175353,175353
"73","131751013",155530,155530
"74","131801016",118934,118934
"75","131841007",60659,60659
"76","131891015",139212,139212
"77","131911011",138936,138936
"78","131971007",1328,1328
"79","132011016",155565,155565
"80","132061016",194841,194841
"81","132131016",97271,97271
"82","132181009",107386,107386
"83","132211014",121737,121737
"84","132211016",128006,128006
"85","132261014",187480,187480
"86","132281008",154628,154628
"87","132291010",154410,154410
"88","132351006",111308,111308
"89","132451015",181232,181232
"90","132471009",72583,72583
"91","132491008",100833,100833
"92","132541016",26601,26601
"93","132551009",122049,122049
"94","132631006",129797,129797
"95","132671016",130041,130041
"96","132681010",190995,190995
"97","132701008",62445,62445
"98","132711008",165905,165905
"99","132761005",106824,106824
"100","132761009",134830,134830
"101","132761013",181304,181304
"102","132811005",1445,1445
"103","132861014",114838,114838
"104","132901008",80981,80981
"105","132911006",115696,115696
"106","132931014",134956,134956
"107","133011014",152110,152110
"108","133021007",117619,117619
"109","133081010",154911,154911
"110","133091012",138267,138267
"111","133141005",134613,134613
"112","133141013",124808,124808
"113","133261007",95953,95953
"114","133271008",122412,122412
"115","133391011",89799,89799
"116","133431010",133225,133225
"117","133451007",163956,163956
"118","133491013",187356,187356
"119","133621006",122215,122215
"120","235041011",177182,177182
"121","235041013",70828,70828
"122","235041015",114396,114396
"123","235051016",107620,107620
"124","235051021",87417,87417
"125","235071007",124158,124158
"126","235071012",112684,112684
"127","235081019",159629,159629
"128","235111015",148628,148628
"129","235171012",47812,47812
"130","235201013",84478,84478
"131","235281017",79992,79992
"132","235291015",135718,135718
"133","235301021",117744,117744
"134","235371016",72456,72456
"135","235381019",88513,88513
"136","235451017",160043,160043
"137","235491012",102391,102391
"138","235491018",92637,92637
"139","235511013",144417,144417
"140","235571012",156522,156522
"141","235581006",126592,126592
"142","235691009",92960,92960
"143","235691020",103045,103045
"144","235701019",107754,107754
"145","235711013",65080,65080
"146","235731010",88753,88753
"147","235801009",67907,67907
"148","235841009",111706,111706
"149","235871018",57779,57779
"150","235911010",117933,117933
"151","235981008",92742,92742
"152","236011013",119719,119719
"153","236021009",84405,84405
"154","236021012",105838,105838
"155","236101017",123585,123585
"156","236121013",127603,127603
"157","236171012",114317,114317
"158","236191017",197856,197856
"159","236221009",134345,134345
"160","236241016",116721,116721
"161","236271016",89800,89800
"162","236301012",65363,65363
"163","236351009",107217,107217
"164","236361010",33672,33672
"165","236391015",112844,112844
"166","236451012",81890,81890
"167","236501002",164830,164830
"168","236511010",58998,58998
"169","236591003",101337,101337
"170","236801004",95596,95596
"171","236891010",79200,79200
"172","236921014",99176,99176
"173","236931009",150372,150372
"174","237001011",109827,109827
"175","237021010",77603,77603
"176","237031013",138019,138019
"177","237061012",121069,121069
"178","237091012",65789,65789
"179","237141013",135268,135268
"180","237171013",110707,110707
"181","237311009",175796,175796
"182","237331012",123361,123361
"183","237341009",131460,131460
"184","237361011",151188,151188
"185","237371009",149551,149551
"186","237401010",136216,136216
"187","237441010",125099,125099
"188","237611012",88794,88794
"189","237621012",128941,128941
"190","237651011",101214,101214
"191","237681010",141956,141956
"192","neg1",1462,1462
"193","neg2",2337,2337
"194","neg3",1005,1005
"195","neg4",1625,1625
"196","neg5",60,60
"197","pos1",67308,67308
"198","pos2",72723,72723
"199","pos3",79545,79545
"200","pos4",49997,49997
